ticker,company_name,industry_group,trade_date,open,high,low,close,adj_close,volume,daily_return,source_url,crawl_time,raw_file
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-02,28.8799991607666,30.280000686645508,28.829999923706055,29.729999542236328,25.279216766357422,57948700,,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-03,30.0,30.040000915527344,29.40999984741211,29.729999542236328,25.279216766357422,43426500,0.0,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-04,29.790000915527344,29.950000762939453,29.030000686645508,29.09000015258789,24.735031127929688,45558200,-0.021526997590841424,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-05,29.020000457763672,29.489999771118164,28.75,29.469999313354492,25.05813980102539,33612800,0.013062796299894819,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-08,29.360000610351562,29.68000030517578,29.170000076293945,29.579999923706055,25.15167236328125,32972100,0.003732621934371627,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-09,29.600000381469727,29.860000610351562,29.31999969482422,29.399999618530273,24.99862289428711,39856900,-0.006085061334433428,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-10,29.360000610351562,29.389999389648438,28.8799991607666,28.989999771118164,24.65000343322754,37413300,-0.013945546622059712,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-11,28.829999923706055,28.920000076293945,28.270000457763672,28.399999618530273,24.148330688476562,46884700,-0.02035183265227203,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-12,28.459999084472656,28.940000534057617,28.440000534057617,28.700000762939453,24.40341567993164,30373500,0.010563255686108386,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
PFE,Pfizer Inc.,Pharmaceuticals,2024-01-16,28.600000381469727,28.719999313354492,28.219999313354492,28.31999969482422,24.080305099487305,38826000,-0.013240383423458568,https://query1.finance.yahoo.com/v8/finance/chart/PFE?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/PFE_0daee9e223d26654.json
