source_name,source_url,report_title,report_year,report_week,year_week,week_start,week_end,region_group,age_group,surveillance_scene,metric_type,pathogen_name,positive_rate,week_over_week_change,rank,ranked_pathogen,crawl_time,raw_file
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,北方省份,,门急诊流感样病例,region_top_pathogen,,,,3,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,北方省份,,住院严重急性呼吸道感染病例,region_top_pathogen,,,,1,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,北方省份,,住院严重急性呼吸道感染病例,region_top_pathogen,,,,2,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,北方省份,,住院严重急性呼吸道感染病例,region_top_pathogen,,,,3,副流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,门急诊流感样病例,age_top_pathogen,,,,1,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,1,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,门急诊流感样病例,age_top_pathogen,,,,2,副流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,2,副流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,门急诊流感样病例,age_top_pathogen,,,,3,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,0～4岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,3,人偏肺病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,门急诊流感样病例,age_top_pathogen,,,,1,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,1,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,门急诊流感样病例,age_top_pathogen,,,,2,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,2,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,门急诊流感样病例,age_top_pathogen,,,,3,副流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,5～14岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,3,人偏肺病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,门急诊流感样病例,age_top_pathogen,,,,1,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,1,流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,门急诊流感样病例,age_top_pathogen,,,,2,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,2,鼻病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,门急诊流感样病例,age_top_pathogen,,,,3,新型冠状病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
中国疾控中心全国急性呼吸道传染病哨点监测情况,https://www.chinacdc.cn/jksj/jksj04_14275/202605/t20260521_1835977.html,全国急性呼吸道传染病哨点监测情况（2026年第20周）,2026,20,2026-W20,2026-05-11,2026-05-17,全国,15～59岁,住院严重急性呼吸道感染病例,age_top_pathogen,,,,3,普通冠状病毒、副流感病毒,2026-05-28 01:05:22,/Users/zhoujia/code/大数据期末实验/大模型助力大数据分析/呼吸道传染病监测与早期预警分析/data/raw/respiratory_weekly/t20260521_1835977_1a98107b953007e3.html
