ticker,company_name,industry_group,trade_date,trade_year,trade_month,open,high,low,close,adj_close,volume,daily_return,return_pct,source_url,crawl_time,raw_file
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-02,2024,2024-01,154.89999389648438,160.13999938964844,154.77000427246094,159.82000732421875,146.56980895996094,8059900,,,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-03,2024,2024-01,160.58999633789062,161.75,159.83999633789062,160.4600067138672,147.15673828125,5301400,0.0040044353298529,0.40044353298529,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-04,2024,2024-01,160.30999755859375,162.2899932861328,159.42999267578125,161.4600067138672,148.07379150390625,8332200,0.0062318126466187,0.6231812646618701,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-05,2024,2024-01,161.3300018310547,163.02999877929688,160.61000061035156,162.13999938964844,148.6974334716797,5607600,0.0042116971642276,0.42116971642275997,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-08,2024,2024-01,162.17999267578125,162.77000427246094,159.77999877929688,161.42999267578125,148.04627990722656,6001600,-0.0043790504600548,-0.43790504600547997,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-09,2024,2024-01,161.42999267578125,163.47000122070312,160.83999633789062,162.30999755859375,148.8533477783203,4454000,0.0054514566093757,0.54514566093757,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-10,2024,2024-01,162.27000427246094,165.0800018310547,161.8800048828125,164.88999938964844,151.21945190429688,6609900,0.0158955385370322,1.58955385370322,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-11,2024,2024-01,164.25,165.1199951171875,163.08999633789062,163.77999877929688,150.20144653320312,4591500,-0.0067319736864145,-0.6731973686414501,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-12,2024,2024-01,162.75,163.3000030517578,162.17999267578125,162.39999389648438,150.3588409423828,4971400,0.0010478887707974,0.10478887707974,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-16,2024,2024-01,161.97999572753906,162.3000030517578,161.02000427246094,161.47999572753906,149.50706481933594,4747700,-0.005664955367495,-0.5664955367495,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-17,2024,2024-01,161.75,162.9499969482422,161.52000427246094,162.0399932861328,150.02554321289062,4423100,0.0034679190189521,0.34679190189521003,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-18,2024,2024-01,161.16000366210938,163.66000366210938,161.0,163.3000030517578,151.192138671875,5074300,0.007775978903332,0.7775978903331999,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-19,2024,2024-01,163.91000366210938,164.8699951171875,162.60000610351562,164.77000427246094,152.5531463623047,5863000,0.0090018416459034,0.90018416459034,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-22,2024,2024-01,164.44000244140625,165.4499969482422,163.75999450683594,165.38999938964844,153.1271514892578,4864000,0.0037626567569435,0.37626567569435,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-23,2024,2024-01,164.4499969482422,167.52999877929688,164.05999755859375,167.5,155.08071899414062,5784700,0.0127578126144392,1.27578126144392,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-24,2024,2024-01,167.77000427246094,167.9499969482422,164.05999755859375,164.22000122070312,152.04391479492188,5422200,-0.0195820874375329,-1.95820874375329,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-25,2024,2024-01,164.0,165.2100067138672,163.1999969482422,165.1300048828125,152.88644409179688,4465800,0.0055413549303267,0.5541354930326701,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-26,2024,2024-01,165.27000427246094,165.86000061035156,163.5,164.39999389648438,152.21054077148438,4654300,-0.0044209499692901,-0.44209499692901,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
ABBV,AbbVie Inc.,Pharmaceuticals,2024-01-29,2024,2024-01,165.85000610351562,166.75999450683594,163.67999267578125,163.91000366210938,151.7568817138672,4704100,-0.0029804707040511,-0.29804707040510997,https://query1.finance.yahoo.com/v8/finance/chart/ABBV?period1=1704067200&period2=1735689600&interval=1d&events=history&includeAdjustedClose=true,2026-05-27T18:35:39.477974+00:00,data/raw/yahoo_chart/ABBV_98743076dee7face.json
