ticker,company_name,industry_group,trade_year,trading_days,avg_close,year_end_adj_close,total_volume,avg_daily_return,daily_return_volatility,latest_rd_fiscal_year,latest_rd_expense_usd,latest_rd_expense_musd,latest_rd_expense_busd
NTLA,"Intellia Therapeutics, Inc.",Biotechnology,2024,252,22.49537694264972,11.65999984741211,451583800,-0.0031046725323635176,0.038752048685561966,2024,466311000.0,466.311,0.466311
PFE,Pfizer Inc.,Pharmaceuticals,2024,252,27.89714281142704,23.93721008300781,9780857700,-0.00011166054025926933,0.01459586933821398,2024,10822000000.0,10822.0,10.822
PODD,Insulet Corporation,Medical Devices,2024,252,206.30476131136456,261.07000732421875,189704700,0.0011560500944354198,0.02331592993196749,2024,219600000.0,219.6,0.2196
RARE,Ultragenyx Pharmaceutical Inc.,Biotechnology,2024,252,47.62964280446371,42.06999969482422,195999700,-0.00020946107911492547,0.0258210472321234,2024,697865000.0,697.865,0.697865
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,2024,252,968.2928953624908,706.4947509765625,143471300,-0.0008590199919479582,0.013662374175426437,2024,5132000000.0,5132.0,5.132
RMD,ResMed Inc.,Medical Devices,2024,252,212.98123029678587,225.4761505126953,254845500,0.0014498626601453495,0.023642735022709815,2024,307525000.0,307.525,0.307525
SRPT,"Sarepta Therapeutics, Inc.",Biotechnology,2024,252,128.00119060940213,121.58999633789062,301935800,0.001410036057493182,0.03212897825743894,2020,207239000.0,207.239,0.207239
SYK,Stryker Corporation,Medical Devices,2024,252,347.89214288620724,355.7879943847656,317398000,0.0008836942051429364,0.011817706214514534,2024,1466000000.0,1466.0,1.466
TECH,Bio-Techne Corporation,Life Sciences Tools,2024,252,73.45289669339618,71.3943862915039,251178700,3.0407689164953768e-05,0.02320029151443235,2024,96664000.0,96.664,0.096664
TMO,Thermo Fisher Scientific Inc.,Life Sciences Tools,2024,252,569.0217850700258,517.884765625,389070000,-8.959020684327836e-05,0.012565966343453083,2024,1390000000.0,1390.0,1.39
UTHR,United Therapeutics Corporation,Biotechnology,2024,252,299.9294039408366,352.8399963378906,111653400,0.0019074423010572792,0.01766298162508603,2024,481000000.0,481.0,0.481
VRTX,Vertex Pharmaceuticals Incorporated,Biotechnology,2024,252,450.56158871120874,402.7000122070313,313456900,4.1011048213404004e-05,0.015462759072954536,2021,3051100000.0,3051.1,3.0511
ZBH,"Zimmer Biomet Holdings, Inc.",Medical Devices,2024,252,114.67531737070234,104.31352996826172,376741600,-0.00042895847793378273,0.013452575500152523,2012,225600000.0,225.6,0.2256
